Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
El Salvador,SLV,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,32963439.00,34189032.00,35414625.00,36640218.00,37865811.00,39091428.00,40317021.00,41542614.00,42768207.00,43993800.00,45219393.00,46444986.00,47670604.00,48896197.00,50121790.00,51347383.00,47631347.00,43915311.00,40199275.00,36483239.00,32767202.00,29051166.00,25335130.00,21619094.00
El Salvador,SLV,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,0.00,0.00,5209970.00,3170081.00,3399091.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
El Salvador,SLV,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
El Salvador,SLV,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
El Salvador,SLV,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,0.00,0.00,5209970.00,3170081.00,3399091.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
El Salvador,SLV,"Natural capital, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.TO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
El Salvador,SLV,"Natural capital, protected areas (constant 2018 US$)",NW.NCA.PRAR.TO,7195932.00,8906500.00,10371247.00,11772306.00,13067468.00,15085672.00,88647172.00,150000000.00,204000000.00,239000000.00,297000000.00,363000000.00,438000000.00,537000000.00,665000000.00,776000000.00,853000000.00,923000000.00,964000000.00,1010000000.00,1020000000.00,1030000000.00,1040000000.00,997000000.00
El Salvador,SLV,"Natural capital, renewable (constant 2018 US$)",NW.NCA.RNEW.TO,14500000000.00,13900000000.00,14300000000.00,14200000000.00,13700000000.00,13100000000.00,12400000000.00,11200000000.00,11300000000.00,10300000000.00,10400000000.00,10900000000.00,11800000000.00,12800000000.00,13600000000.00,14900000000.00,15400000000.00,15600000000.00,15100000000.00,15400000000.00,15100000000.00,14400000000.00,14100000000.00,14200000000.00
El Salvador,SLV,Net foreign assets (constant 2018 US$),NW.NFA.TO,-2900000000.00,-4800000000.00,-5100000000.00,-6100000000.00,-6700000000.00,-7000000000.00,-7700000000.00,-8900000000.00,-9800000000.00,-9800000000.00,-11000000000.00,-11000000000.00,-11000000000.00,-11000000000.00,-12000000000.00,-13000000000.00,-13000000000.00,-15000000000.00,-16000000000.00,-16000000000.00,-15000000000.00,-16000000000.00,-17000000000.00,-16000000000.00
El Salvador,SLV,Net foreign assets per capita (constant 2018 US$),NW.NFA.PC,-512.49,-843.06,-883.98,-1046.94,-1148.83,-1182.58,-1298.51,-1486.41,-1640.83,-1631.28,-1735.45,-1862.02,-1830.71,-1859.20,-1976.18,-2108.90,-2162.28,-2413.73,-2525.81,-2501.40,-2417.11,-2585.84,-2642.22,-2538.39
El Salvador,SLV,Produced capital (constant 2018 US$),NW.PCA.TO,36400000000.00,37900000000.00,39700000000.00,41800000000.00,43600000000.00,45600000000.00,47600000000.00,49600000000.00,51600000000.00,53300000000.00,55000000000.00,57200000000.00,59600000000.00,61500000000.00,62600000000.00,63700000000.00,65300000000.00,66800000000.00,68600000000.00,70100000000.00,71700000000.00,73400000000.00,75100000000.00,78200000000.00
El Salvador,SLV,Produced capital per capita (constant 2018 US$),NW.PCA.PC,6458.35,6666.66,6911.87,7201.67,7465.69,7748.17,8025.93,8316.19,8612.78,8854.90,9093.98,9405.35,9755.24,10036.17,10158.93,10298.14,10515.60,10707.85,10951.80,11136.76,11332.72,11546.72,11755.96,12178.36
El Salvador,SLV,Total wealth (constant 2018 US$),NW.TOW.TO,128000000000.00,130000000000.00,161000000000.00,164000000000.00,172000000000.00,170000000000.00,166000000000.00,167000000000.00,164000000000.00,164000000000.00,165000000000.00,176000000000.00,188000000000.00,198000000000.00,199000000000.00,202000000000.00,208000000000.00,211000000000.00,212000000000.00,215000000000.00,227000000000.00,212000000000.00,223000000000.00,230000000000.00
El Salvador,SLV,Total wealth per capita (constant 2018 US$),NW.TOW.PC,22785.02,22866.65,27969.19,28221.03,29443.05,28883.38,27940.82,27974.62,27299.93,27212.26,27248.69,28942.51,30728.11,32253.77,32381.23,32648.80,33432.10,33904.33,33758.53,34207.11,35880.32,33350.08,34960.36,35793.29
Estonia,EST,Human capital (constant 2018 US$),NW.HCA.TO,86100000000.00,90400000000.00,99600000000.00,102000000000.00,99100000000.00,107000000000.00,110000000000.00,117000000000.00,126000000000.00,136000000000.00,151000000000.00,169000000000.00,190000000000.00,188000000000.00,158000000000.00,148000000000.00,153000000000.00,166000000000.00,166000000000.00,172000000000.00,181000000000.00,189000000000.00,198000000000.00,208000000000.00
Estonia,EST,Human capital per capita (constant 2018 US$),NW.HCA.PC,59938.27,63886.38,71193.16,73658.69,71252.39,76725.59,79585.45,85047.61,91899.13,99827.98,111388.10,125772.90,141888.30,140752.80,118178.50,110782.20,114993.60,125186.90,126175.50,130498.30,137600.30,144007.20,150528.60,157308.20
Estonia,EST,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,25065.54,25473.61,28277.98,29132.19,28066.94,30027.45,31582.75,33937.76,36985.41,40251.43,42875.51,49792.78,54522.36,58358.12,48811.73,47033.13,49289.64,52755.04,52107.20,55904.41,58694.29,62859.47,65596.22,68203.80
Estonia,EST,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,28326.91,29471.07,32982.51,34186.43,33505.37,36288.06,38096.06,41073.86,45054.73,49045.78,57496.22,64252.55,74609.57,70677.19,58702.72,54215.89,56202.96,62507.77,64312.30,65249.68,69591.56,71996.51,75834.32,79596.58
Estonia,EST,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,28138.54,29619.19,32862.92,33889.54,32479.48,34741.10,36073.06,38478.38,41430.05,44998.26,47581.36,54913.09,59908.38,63657.52,53653.21,51461.56,53728.82,57297.23,56473.82,60216.11,62955.88,67125.07,69815.93,72591.25
Estonia,EST,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,31799.74,34267.19,38330.24,39769.15,38772.91,41984.49,43512.39,46569.23,50469.08,54829.72,63806.78,70859.79,81979.91,77095.26,64525.25,59320.61,61264.78,67889.67,69701.72,70282.15,74644.37,76882.14,80712.64,84716.92
Estonia,EST,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,3072.99,4145.58,4584.94,4757.35,4412.54,4713.65,4490.30,4540.62,4444.65,4746.83,4705.85,5120.31,5386.01,5299.40,4841.48,4428.43,4439.19,4542.19,4366.62,4311.70,4261.60,4265.60,4219.72,4387.46
Estonia,EST,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,3472.83,4796.13,5347.73,5582.72,5267.54,5696.43,5416.34,5495.37,5414.36,5783.94,6310.56,6607.24,7370.34,6418.07,5822.54,5104.73,5061.82,5381.90,5389.42,5032.47,5052.81,4885.64,4878.32,5120.34
